id,date,country,region,city,product_category,product_subcategory,installed_power_kw,capex_usd,opex_usd,energy_kwh_year,revenue_usd_year
1,2020-03-15,Ukraine,Center,Kyiv,Residential,Roof-mono,10,12000,350,14000,2200
2,2020-06-20,Ukraine,West,Lviv,Residential,Roof-poly,8,9000,300,11000,1800
3,2021-02-10,Ukraine,South,Odesa,Commercial,Roof-mono,50,55000,1200,67000,9500
4,2021-09-05,Poland,South,Wroclaw,Commercial,Ground-mono,150,145000,2600,180000,26000
5,2022-01-18,Germany,North,Berlin,Commercial,Roof-poly,60,63000,1400,72000,11000
6,2022-04-30,Ukraine,East,Kharkiv,Residential,Roof-mono,12,13000,360,15000,2300
7,2022-07-22,Poland,Center,Warsaw,Residential,Roof-poly,9,10000,320,12500,2000
8,2023-03-12,Germany,South,Munich,Commercial,Ground-poly,180,175000,2900,210000,31000
9,2023-05-03,Ukraine,West,Lviv,Commercial,Ground-mono,90,92000,2100,115000,17000
10,2023-09-17,Ukraine,Center,Kyiv,Residential,Roof-mono,7,8000,280,9800,1600
11,2019-02-10,Ukraine,Center,Kyiv,Residential,Roof-mono,6,7500,260,9000,1500
12,2019-05-21,Ukraine,West,Lviv,Residential,Roof-poly,9,9800,310,13000,2100
13,2019-08-30,Poland,Center,Warsaw,Commercial,Roof-mono,80,82000,1700,95000,14000
14,2019-11-12,Germany,North,Berlin,Commercial,Ground-mono,200,195000,3000,230000,34000
15,2020-01-25,Poland,South,Wroclaw,Residential,Roof-mono,10,11500,340,13500,2200
16,2020-04-14,Germany,South,Munich,Residential,Roof-poly,11,12500,350,14500,2300
17,2020-07-19,Ukraine,South,Odesa,Commercial,Ground-poly,120,118000,2300,140000,21000
18,2020-10-03,Ukraine,East,Kharkiv,Commercial,Ground-mono,130,125000,2400,150000,22500
19,2021-01-16,Ukraine,Center,Kyiv,Residential,Roof-mono,7,8300,280,10000,1700
20,2021-03-29,Poland,Center,Warsaw,Residential,Roof-poly,9,9900,320,12800,2100
21,2021-06-11,Germany,North,Berlin,Commercial,Roof-mono,70,72000,1500,82000,12500
22,2021-08-23,Germany,South,Munich,Commercial,Roof-poly,90,93000,1900,110000,16500
23,2021-11-07,Ukraine,West,Lviv,Commercial,Ground-poly,140,135000,2500,165000,24500
24,2022-02-19,Ukraine,East,Kharkiv,Residential,Roof-mono,8,9800,300,11500,1850
25,2022-05-02,Poland,South,Wroclaw,Residential,Roof-poly,10,10800,330,13000,2150
26,2022-08-15,Poland,Center,Warsaw,Commercial,Ground-mono,160,160000,2700,195000,29000
27,2022-10-28,Germany,North,Berlin,Commercial,Ground-poly,190,182000,2900,220000,32500
28,2023-01-09,Ukraine,Center,Kyiv,Residential,Roof-mono,6,7600,270,9200,1550
29,2023-04-22,Ukraine,South,Odesa,Residential,Roof-poly,9,10400,320,12800,2100
30,2023-07-05,Poland,South,Wroclaw,Commercial,Roof-mono,85,87000,1800,100000,15000
